"RECORDING_SESSION_LABEL","TRIAL_LABEL","Total_Target_Viewing_Time"
1,61,3908
1,62,3149
1,63,2101
1,64,1656
1,65,1529
1,66,1195
1,67,1945
1,68,2062
1,69,1386
1,70,1323
1,71,633
1,72,970
1,73,2097
1,74,1974
1,75,1612
1,76,1154
1,77,1394
1,78,1395
1,79,1859
1,80,1549
1,81,1844
1,82,324
1,83,1123
1,84,1369
1,85,1759
1,86,1124
1,87,1060
1,88,1561
1,89,1612
1,90,1984
1,91,929
1,92,915
1,93,710
1,94,1770
1,95,1711
1,96,1006
1,97,1449
1,98,1101
1,99,1346
1,100,1845
1,101,1363
1,102,1466
1,103,904
1,104,1783
1,105,1023
1,106,1827
1,107,1071
1,108,1139
1,109,1490
1,110,1362
1,111,1186
1,112,2377
1,113,2137
1,114,1913
1,115,1283
1,116,1409
1,117,589
1,118,1443
1,119,1880
1,120,861
2,61,2116
2,62,1632
2,63,148
2,64,1493
2,65,2677
2,66,208
2,67,1082
2,68,1195
2,69,984
2,70,1777
2,71,165
2,72,931
2,73,1793
2,74,1527
2,75,328
2,76,171
2,77,941
2,78,1078
2,79,760
2,80,1462
2,81,1522
2,82,1198
2,83,1176
2,84,1455
2,85,1527
2,87,405
2,88,471
2,89,629
2,90,261
2,91,975
2,92,452
2,93,635
2,94,1514
2,95,1326
2,96,1868
2,98,458
2,99,264
2,100,1319
2,101,1567
2,102,1373
2,103,1220
2,104,1105
2,105,936
2,106,1916
2,107,1432
2,108,1353
2,109,1782
2,110,1062
2,111,2071
2,112,1662
2,113,1348
2,114,384
2,115,1096
2,116,754
2,117,833
2,118,351
2,119,641
2,120,172
3,61,3094
3,62,700
3,63,166
3,64,490
3,65,292
3,66,601
3,67,888
3,68,321
3,70,2709
3,71,2806
3,72,2841
3,73,2037
3,74,740
3,75,2129
3,76,286
3,77,2379
3,78,1490
3,79,2087
3,80,2130
3,81,302
3,82,110
3,83,3137
3,84,459
3,85,850
3,86,1576
3,87,342
3,89,2242
3,90,219
3,91,2810
3,92,355
3,94,3252
3,95,2199
3,96,2809
3,97,399
3,98,2221
3,99,749
3,100,2018
3,102,3053
3,103,1852
3,104,2038
3,105,1387
3,106,184
3,107,307
3,108,329
3,109,2378
3,110,2033
3,111,1839
3,112,340
3,113,2970
3,114,387
3,115,842
3,116,1039
3,117,2139
3,118,2256
3,119,2515
3,120,744
4,61,6277
4,62,3860
4,63,4231
4,64,4258
4,65,2126
4,66,1927
4,67,2302
4,68,2128
4,69,1724
4,70,1676
4,71,2541
4,72,688
4,73,1481
4,74,2724
4,75,1513
4,76,2893
4,77,2918
4,78,584
4,79,1924
4,80,124
4,81,2238
4,82,1757
4,83,3141
4,84,1856
4,85,1696
4,86,685
4,87,1896
4,88,1731
4,89,1717
4,90,3019
4,91,1374
4,92,1933
4,93,1658
4,94,2346
4,95,1713
4,96,1278
4,97,2783
4,98,2569
4,99,1289
4,100,3388
4,101,1776
4,102,1998
4,103,1329
4,104,2659
4,105,1704
4,106,2521
4,107,1399
4,108,1994
4,109,989
4,110,2160
4,111,1638
4,112,954
4,113,1455
4,114,1724
4,115,2841
4,116,728
4,117,1733
4,118,397
4,119,3147
4,120,1821
5,61,2110
5,62,1400
5,63,1232
5,65,205
5,66,2227
5,67,1483
5,68,358
5,69,1616
5,70,1707
5,71,341
5,72,748
5,73,983
5,74,1288
5,75,880
5,77,1053
5,78,908
5,79,1214
5,80,2112
5,81,703
5,82,1280
5,83,1220
5,84,864
5,85,1126
5,86,1602
5,87,2100
5,88,2040
5,89,1001
5,90,3025
5,91,1437
5,92,1349
5,93,520
5,94,420
5,95,1149
5,96,1441
5,97,1553
5,98,208
5,99,906
5,100,405
5,101,292
5,102,622
5,103,220
5,104,208
5,105,1056
5,106,1222
5,107,308
5,108,507
5,109,1215
5,110,806
5,111,575
5,112,900
5,114,893
5,115,470
5,116,976
5,117,1144
5,118,1047
5,119,443
5,120,909
6,61,223
6,62,1983
6,63,2214
6,64,2886
6,65,2124
6,66,1727
6,67,1949
6,68,1706
6,69,2066
6,70,2029
6,71,2175
6,72,1577
6,73,1772
6,74,1992
6,75,1599
6,76,2102
6,77,1685
6,78,1521
6,79,1862
6,80,701
6,81,1802
6,82,1998
6,83,1018
6,84,1704
6,85,1452
6,86,2720
6,87,1745
6,88,956
6,89,1451
6,90,1523
6,91,1366
6,92,1126
6,93,1694
6,94,1864
6,95,2016
6,96,1022
6,97,1060
6,98,1901
6,99,1919
6,100,322
6,101,2764
6,102,747
6,103,1433
6,104,1629
6,105,1462
6,106,260
6,107,365
6,108,612
6,109,2102
6,110,1430
6,111,1339
6,112,2008
6,113,424
6,114,937
6,115,822
6,116,1033
6,117,3308
6,118,803
6,119,949
6,120,2500
7,61,2615
7,62,3357
7,63,3273
7,64,3364
7,65,3797
7,66,3640
7,67,3420
7,68,3003
7,69,792
7,70,2260
7,71,3206
7,72,3123
7,73,3282
7,74,323
7,75,2966
7,76,2824
7,77,3296
7,78,2143
7,79,2254
7,80,3137
7,81,2096
7,82,4608
7,83,3835
7,84,2967
7,85,489
7,86,582
7,87,249
7,88,2836
7,89,2258
7,90,2626
7,91,1494
7,92,2239
7,93,1227
7,94,2548
7,95,2792
7,96,1877
7,97,1979
7,98,284
7,99,1241
7,100,2387
7,101,2033
7,102,1808
7,103,2200
7,104,2596
7,105,526
7,106,2125
7,107,1617
7,108,1408
7,109,3031
7,110,2576
7,111,1344
7,112,1148
7,113,271
7,114,1502
7,115,1457
7,116,2345
7,117,433
7,118,1122
7,119,1843
7,120,305
8,61,2127
8,62,1524
8,63,2104
8,64,152
8,65,1612
8,66,149
8,67,1487
8,68,1279
8,69,2086
8,70,938
8,71,1436
8,72,1448
8,73,2337
8,74,2150
8,75,1093
8,78,1439
8,79,1495
8,80,451
8,81,897
8,82,1203
8,83,1770
8,84,937
8,85,455
8,86,314
8,87,1190
8,88,265
8,89,649
8,90,1243
8,91,1362
8,92,956
8,93,553
8,94,798
8,95,1812
8,96,799
8,97,635
8,98,1823
8,99,2725
8,100,1601
8,101,1347
8,102,643
8,103,1983
8,104,1449
8,105,959
8,106,1200
8,107,182
8,108,722
8,109,1612
8,110,1688
8,111,1129
8,112,395
8,113,597
8,114,458
8,115,1843
8,116,423
8,118,826
8,119,1314
8,120,1972
9,61,2187
9,62,1756
9,63,2333
9,64,2438
9,65,2692
9,66,1637
9,67,2464
9,68,2691
9,69,656
9,70,2522
9,71,1790
9,72,1945
9,73,1659
9,74,1019
9,75,2185
9,76,4125
9,77,2316
9,78,2080
9,79,2040
9,80,2272
9,81,3297
9,82,2129
9,83,1615
9,84,1612
9,85,1740
9,86,1204
9,87,2026
9,88,1735
9,89,1002
9,90,1707
9,91,2460
9,92,2103
9,93,312
9,94,2057
9,95,1933
9,96,2348
9,97,253
9,98,2218
9,99,1923
9,100,2308
9,101,2307
9,102,2476
9,103,2305
9,104,1483
9,105,2323
9,106,1753
9,107,158
9,108,2102
9,109,1595
9,110,1934
9,111,944
9,112,2091
9,113,2103
9,114,2454
9,115,1840
9,116,2041
9,117,1797
9,118,427
9,119,1707
9,120,1862
10,61,581
10,62,163
10,63,1847
10,64,1110
10,65,205
